name,age,team,pace,shooting,passing,dribbling,position,direction,joined,contract,preferred_foot,international_rep,wage
Álvaro Vázquez García,30,Spain,72,69,60,66,Striker,Center,2021-08-30,2022,Right,1,1000
George Moncur,27,England,65,64,68,69,Substitute,Pending,2021-07-01,2023,Right,1,5000
Vadaine Aston James Oliver,29,England,69,65,52,62,Striker,Center,2020-08-05,2022,Right,1,5000
Patrick McEleney,28,Republic of Ireland,74,60,64,69,Midfielder,Center,2018-07-02,2021,Right,1,2000
Pierre Emmanuel Sagna,30,Senegal,73,43,60,65,Substitute,Pending,2020-01-30,2024,Right,1,2000
Piotr Parzyszek,27,Poland,61,66,53,62,Striker,Center,2021-07-13,2022,Right,1,4000
Karl Albin Elis Holmberg,28,Sweden,72,65,56,64,Striker,Center,2020-01-10,2022,Right,1,4000
Will Bruin,31,United States,55,67,55,62,Substitute,Pending,2016-12-23,2021,Right,1,3000
Marvin Knoll,30,Germany,51,55,68,63,Substitute,Pending,2018-07-01,2022,Left,1,6000
Matthias Ostrzolek,31,Germany,69,46,64,70,Substitute,Pending,2021-01-10,2022,Left,2,4000
Chukwuemeka Ademola Amachi Aneke,27,England,59,67,62,66,Substitute,Pending,2021-07-01,2023,Right,1,9000
Jalil Anibaba,32,United States,51,44,55,53,Defender,Center,2019-11-19,2025,Right,1,3000
김호남 金恒南,32,Korea Republic,80,64,59,67,Midfielder,Left,2021-07-06,2021,Right,1,3000
Bobby Shou Wood,28,United States,75,68,57,67,Substitute,Pending,2021-07-01,2022,Right,1,4000
Tom Carroll,29,England,65,57,70,68,Reserve,Pending,2021-08-16,2022,Left,1,5000
Florian Hartherz,28,Germany,71,52,63,62,Reserve,Pending,2020-08-04,2022,Left,1,8000
Christopher Wernitznig,31,Austria,69,67,65,69,Substitute,Pending,2014-07-01,2022,Right,1,6000
Pablo Daniel Ceppelini Gatto,29,Uruguay,67,63,72,68,Midfielder,Right,2020-01-01,2022,Right,1,500
Yohandry José Orozco Cujía,30,Venezuela,70,61,64,69,Substitute,Pending,2021-02-26,2025,Left,1,1000
Richard Boateng,28,Ghana,70,65,62,66,Midfielder,Center,2021-07-01,2022,Right,1,3000
Daryl Jeremiah Horgan,28,Republic of Ireland,82,62,66,71,Midfielder,Center,2020-09-02,2022,Right,1,4000
Jody Lukoki,28,Congo DR,88,55,56,71,Reserve,Pending,2021-07-01,2023,Right,1,5000
Martin Yves Angha-Lötscher,27,Switzerland,71,37,58,63,Defender,Right,2019-08-26,2022,Right,1,4000
谭龙,33,China PR,73,68,61,67,Forward,Center,2017-01-22,2021,Right,1,4000
Roope Riski,29,Finland,83,66,53,66,Striker,Center,2020-01-01,2021,Right,1,500
Tim Kister,34,Germany,43,29,42,40,Substitute,Pending,2013-07-01,2022,Right,1,3000
Tyler Blackett,27,England,68,40,66,63,Reserve,Pending,2021-08-06,2022,Left,1,3000
Benjamin Halloran,29,Australia,85,61,60,66,Midfielder,Right,2018-08-14,2022,Right,1,2000
Daniel Potts,27,England,67,39,57,63,Substitute,Pending,2015-07-01,2023,Left,1,5000
Martin Pospíšil,30,Czech Republic,72,55,68,72,Midfielder,Right,2017-07-04,2024,Right,1,4000
Tobias Kainz,28,Austria,61,58,66,62,Midfielder,Right,2018-07-01,2024,Right,1,3000
Manuel Zeitz,30,Germany,54,54,58,59,Defender,Right,2016-07-01,2022,Right,1,2000
Matt Smith,32,England,33,68,49,51,Substitute,Pending,2019-07-01,2022,Left,1,6000
Richard Windbichler,30,Austria,64,34,53,52,Defender,Center,2021-01-15,2022,Right,1,2000
Hugo Ezequiel Silva,29,Argentina,74,41,54,67,Midfielder,Right,2021-07-07,2022,Right,1,5000
Nicholas Devlin,27,Scotland,84,50,54,63,Defender,Right,2019-07-01,2023,Right,1,3000
Paul Papp,31,Romania,54,50,57,51,Reserve,Pending,2020-08-12,2023,Right,1,5000
Matthew Kennedy,26,Northern Ireland,86,59,60,69,Substitute,Pending,2020-01-24,2023,Right,1,3000
Michael Smith,32,Northern Ireland,68,43,61,64,Defender,Right,2017-07-04,2022,Right,1,3000
Tom Beugelsdijk,30,Netherlands,35,39,45,45,Substitute,Pending,2020-08-14,2022,Right,1,4000
Rafael Guimarães Lopes,29,Portugal,60,66,54,65,Forward,Right,2020-08-01,2022,Right,1,5000
Philipp Hosiner,32,Austria,79,64,54,67,Substitute,Pending,2020-07-20,2022,Right,1,7000
Sebastian Mladen,29,Romania,66,51,55,54,Defender,Right,2021-06-21,2022,Right,1,4000
Gary Sean Mackay-Steven,30,Scotland,83,61,61,71,Winger,Left,2021-01-11,2023,Left,1,3000
Jack David Grimmer,27,Scotland,74,49,56,63,Defender,Right,2019-07-22,2023,Right,1,4000
Nils Röseler,29,Germany,63,35,53,56,Substitute,Pending,2021-08-17,2025,Right,1,7000
Troels Kløve Hallstrom,30,Denmark,76,62,64,70,Substitute,Pending,2018-01-24,2024,Right,1,5000
Angus Lees MacDonald,28,England,55,26,45,47,Substitute,Pending,2020-08-15,2022,Right,1,5000
Gwion Dafydd Rhys Edwards,28,Wales,80,61,63,67,Substitute,Pending,2021-07-01,2023,Right,1,2000
David Carneiro Dias Resende Bruno,29,Portugal,67,44,58,65,Substitute,Pending,2021-07-12,2022,Right,1,3000
Yannick Aguemon,29,Benin,82,62,59,67,Substitute,Pending,2017-07-01,2022,Right,1,6000
Alejandro Rodríguez Gorrín,27,Spain,58,45,61,64,Midfielder,Center,2019-07-01,2022,Right,1,4000
Jakub Bartkowski,29,Poland,78,40,58,60,Defender,Right,2019-02-01,2023,Right,1,3000
Cameron Alexander McGeehan,26,Northern Ireland,66,63,63,67,Substitute,Pending,2020-08-06,2023,Right,1,5000
Enver Cenk Şahin,26,Turkey,89,60,60,72,Reserve,Pending,2020-08-07,2023,Left,1,5000
Yussif Raman Chibsah,28,Ghana,60,60,62,67,Substitute,Pending,2020-09-18,2022,Right,1,8000
Joseph David Wozencroft Pigott,27,England,67,67,54,66,Striker,Center,2021-07-12,2024,Right,1,6000
Marius Christopher Høibråten,26,Norway,68,33,50,56,Substitute,Pending,2020-06-10,2023,Left,1,2000
Kevin Linford Stewart,27,England,65,53,60,66,Substitute,Pending,2021-01-23,2023,Right,1,5000
Simon Hjalmar Friedel Tibbling,26,Sweden,67,56,68,72,Substitute,Pending,2021-07-01,2025,Right,1,5000
Bryan Paul Carrasco Santos,30,Chile,89,62,62,68,Midfielder,Right,2020-01-30,2022,Right,1,2000
Fabian Schnellhardt,27,Germany,70,63,65,71,Midfielder,Left,2019-07-01,2022,Left,1,6000
Douglas Ricardo Grolli,31,Brazil,39,47,39,42,Defender,Left,2020-06-07,2022,Right,1,2000
Simon Sandberg,27,Sweden,70,43,59,60,Substitute,Pending,2018-01-01,2022,Right,1,2000
Leonard Zuta,28,North Macedonia,78,49,62,64,Defender,Left,2021-08-01,2024,Left,1,2000
Andrew Wooten,31,United States,70,66,63,65,Substitute,Pending,2021-07-01,2023,Right,1,2000
Richard Ofori,28,Ghana,88,33,51,63,Substitute,Pending,2020-07-01,2022,Left,1,2000
Stefano Beltrame,28,Italy,79,63,66,73,Substitute,Pending,2021-01-15,2023,Right,1,4000
Dominik Grzegor Furman,28,Poland,66,64,71,65,Substitute,Pending,2021-07-06,2022,Right,1,3000
Khaled Ahmed Al Ghamdi,33,Saudi Arabia,83,31,60,66,Substitute,Pending,2020-09-10,2023,Right,1,10000
Nawaf Shaker Al Abid,31,Saudi Arabia,55,70,69,72,Substitute,Pending,2020-10-25,2023,Left,1,11000
Fahad Mosaed Al Muwallad Al-Harbi,26,Saudi Arabia,90,63,60,67,Substitute,Pending,2011-07-01,2022,Right,1,12000
Olayinka Fredrick Oladotun Ladapo,28,England,81,66,46,66,Striker,Left,2019-06-25,2022,Right,1,5000
Bram van Polen,35,Netherlands,60,50,61,66,Defender,Right,2007-07-01,2022,Right,1,3000
Łukasz Zwoliński,28,Poland,72,64,53,65,Striker,Center,2020-02-07,2023,Right,1,4000
Alexander Jacques Corryn,27,Belgium,64,33,60,65,Substitute,Pending,2020-07-07,2022,Left,1,4000
Konstantinos Triantafyllopoulos,28,Greece,62,27,50,49,Defender,Right,2019-07-01,2022,Right,1,3000
Barrie McKay,26,Scotland,85,61,63,69,Substitute,Pending,2021-09-07,2023,Right,1,3000
Bilal Başaçıkoğlu,26,Turkey,83,65,60,72,Midfielder,Left,2021-07-01,2023,Right,1,3000
Jonathan Buatu Mananga,27,Angola,58,41,51,54,Defender,Right,2020-08-03,2022,Right,1,5000
Daniel Buballa,31,Germany,78,43,60,64,Defender,Left,2021-07-01,2023,Left,1,2000
Bruno Godeau,29,Belgium,35,35,56,51,Substitute,Pending,2020-01-28,2023,Left,1,7000
Bradley Shaun Smith,27,Australia,78,49,60,65,Midfielder,Left,2020-09-17,2021,Left,1,3000
Khalid Boutaïb,34,Morocco,54,68,55,65,Striker,Left,2020-10-05,2022,Right,1,4000
Leonardo Capezzi,26,Italy,47,59,68,66,Midfielder,Right,2020-09-29,2023,Right,1,13000
Thomas Ebner,29,Austria,69,50,61,64,Reserve,Pending,2021-09-01,2022,Right,1,4000
Nasser Chamed,27,Comoros,80,65,66,70,Midfielder,Center,2017-10-10,2022,Right,1,4000
Frederik Lucas Holst,26,Denmark,82,55,66,67,Midfielder,Right,2018-08-10,2023,Right,1,2000
Hassan Kadesh Mahboob,28,Saudi Arabia,73,42,59,61,Defender,Left,2020-01-20,2023,Left,1,8000
Facundo Manuel Parra,36,Argentina,62,64,54,65,Substitute,Pending,2021-01-14,2021,Right,1,500
황석호 黄锡浩,32,Korea Republic,43,33,55,58,Defender,Right,2021-01-09,2022,Right,1,2000
Jorge Martín Salinas Martínez,29,Paraguay,78,55,67,69,Substitute,Pending,2020-11-25,2021,Left,1,500
Jack David Vincent Whatmough,24,England,67,26,47,50,Defender,Right,2021-07-01,2024,Right,1,2000
Lucas Woudenberg,27,Netherlands,66,38,58,59,Defender,Left,2017-08-01,2022,Left,1,3000
Declan Christopher John,26,Wales,86,54,60,68,Defender,Left,2021-07-01,2024,Left,1,4000
Israel Puerto Pineda,28,Spain,60,27,50,50,Defender,Right,2021-07-01,2023,Right,1,4000
Paul McGinn,30,Scotland,68,52,59,62,Defender,Right,2020-01-31,2022,Right,1,3000
Marc Lorenz,32,Germany,77,56,71,66,Substitute,Pending,2017-07-01,2022,Left,1,6000
Martin Konczkowski,27,Poland,79,40,65,66,Defender,Right,2017-06-19,2022,Right,1,3000
Ben Zolinski,29,Germany,75,66,61,67,Striker,Right,2020-09-16,2023,Right,1,4000
Marius Willsch,30,Germany,80,49,57,61,Substitute,Pending,2018-07-01,2023,Right,1,1000
Dominic Edward Gape,26,England,67,56,63,66,Substitute,Pending,2017-01-07,2022,Right,1,4000
Tobias Schröck,28,Germany,67,63,58,59,Substitute,Pending,2017-07-01,2024,Right,1,7000
Robin Yalçın,27,Germany,59,46,63,68,Defender,Right,2021-07-20,2022,Right,1,6000
Erich Berko,26,Germany,84,64,61,69,Substitute,Pending,2019-07-01,2022,Right,1,6000
Kearyn Baccus,29,Australia,69,48,63,63,Midfielder,Right,2019-07-05,2022,Right,1,500
Ulrik Yttergård Jenssen,24,Norway,59,54,63,63,Defender,Left,2021-07-24,2024,Left,1,3000
Andrew Nabbout,28,Australia,76,65,63,68,Winger,Left,2020-09-24,2024,Right,1,5000
Sebastián Rincón Lucumí,27,Colombia,74,66,59,67,Substitute,Pending,2021-07-09,2022,Right,1,6000
Sebastian Ohlsson,28,Sweden,67,61,58,64,Substitute,Pending,2019-08-30,2022,Right,1,6000
Mikkel Desler,26,Denmark,79,58,58,66,Defender,Right,2021-07-21,2026,Right,1,3000
Igor de Carvalho Julião,26,Brazil,78,47,59,70,Substitute,Pending,2021-07-27,2023,Right,1,2000
Jefferson Nogueira Junior,27,Brazil,71,56,65,69,Midfielder,Left,2018-01-09,2022,Right,1,5000
Adama Niane,28,Mali,71,68,50,67,Substitute,Pending,2020-09-25,2022,Right,1,3000
Hedgardo Marín Arroyo,28,Mexico,51,36,49,48,Reserve,Pending,2021-07-23,2026,Left,1,4000
Sullay Borbor Kaikai,25,Sierra Leone,80,64,62,70,Substitute,Pending,2021-07-15,2023,Right,1,4000
Cephas Malele,27,Switzerland,83,66,46,64,Substitute,Pending,2021-08-13,2023,Right,1,8000
김승대 金承大,30,Korea Republic,87,62,63,68,Reserve,Pending,2019-07-15,2022,Right,1,5000
Callum Jason Noel Camps,25,Northern Ireland,72,66,65,67,Midfielder,Right,2020-08-01,2022,Right,1,4000
Abdulfattah Tawfiq Jaber Asiri,27,Saudi Arabia,82,63,61,72,Substitute,Pending,2020-09-10,2023,Left,1,12000
Daniel Quintana Sosa,34,Spain,73,61,68,70,Substitute,Pending,2021-07-01,2022,Left,1,4000
Jamie Allen,26,England,75,55,66,69,Substitute,Pending,2019-06-28,2022,Right,1,8000
정재용 郑在勇,30,Korea Republic,49,59,62,60,Substitute,Pending,2020-06-22,2021,Right,1,2000
Gonçalo Filipe Oliveira Silva,30,Portugal,43,33,50,49,Reserve,Pending,2021-07-07,2022,Right,1,2000
Sam Johan Hampus Lundholm,27,Sweden,77,60,61,70,Substitute,Pending,2017-07-19,2021,Left,1,2000
Saulo Igor Decarli,29,Switzerland,58,33,50,54,Substitute,Pending,2019-07-01,2022,Right,1,8000
Erik Jonathan Ring,29,Sweden,71,64,66,70,Forward,Right,2021-02-19,2021,Left,1,2000
Antonio Junior Vacca,31,Italy,71,49,62,66,Reserve,Pending,2019-07-16,2022,Right,1,7000
Daniël De Silva,24,Australia,76,58,62,70,Midfielder,Left,2021-07-09,2023,Right,1,2000
Guðmundur Þórarinsson,29,Iceland,60,62,69,70,Defender,Left,2020-01-28,2021,Left,1,3000
Stephen Gerard O'Donnell,29,Scotland,79,46,58,62,Defender,Right,2020-08-13,2023,Right,1,3000
Juan Francisco Cornejo Palma,31,Chile,74,57,63,63,Reserve,Pending,2021-01-18,2021,Left,1,4000
Samuel Gustafson,26,Sweden,57,59,67,71,Midfielder,Right,2021-07-15,2024,Right,1,2000
Andreas Geipl,29,Germany,69,52,58,63,Substitute,Pending,2020-07-01,2023,Right,1,8000
Christian Neiva Afonso,26,Portugal,67,48,62,63,Defender,Left,2019-08-14,2023,Left,1,2000
Abdullah Mohammed Madu,27,Saudi Arabia,43,26,44,40,Substitute,Pending,2013-07-01,2022,Left,1,11000
Rolf Linus Wahlqvist,24,Sweden,69,50,63,64,Defender,Right,2020-08-04,2023,Right,1,2000
Ever Milton Cantero Benítez,35,Paraguay,63,67,45,57,Substitute,Pending,2021-01-15,2021,Right,1,500
Carlos Julio Robles Rocha,29,Colombia,55,48,60,57,Substitute,Pending,2021-01-06,2026,Right,1,950
Jorge Enrique Arias De la Hoz,28,Colombia,73,43,57,60,Substitute,Pending,2021-01-06,2026,Left,1,950
Ray Andrés Vanegas Zúñiga,28,Colombia,84,64,55,69,Midfielder,Right,2019-01-22,2021,Right,1,950
Nicolás Iván Orellana Acuña,25,Chile,78,65,62,68,Substitute,Pending,2021-02-25,2021,Left,1,2000
Felipe Manuel Campos Mosqueira,27,Chile,73,44,60,61,Defender,Right,2021-07-19,2022,Right,1,4000
Viljar Helland Vevatne,26,Norway,69,56,54,61,Defender,Left,2018-01-12,2022,Left,1,2000
Nicolás Berardo,30,Argentina,66,46,63,58,Substitute,Pending,2021-02-19,2021,Left,1,2000
Felipe Andrés Reynero Galarce,32,Chile,76,59,63,68,Midfielder,Right,2019-01-01,2021,Right,1,1000
Luis Marcelo Herrera,29,Argentina,64,45,55,57,Defender,Right,2021-02-05,2021,Right,1,4000
Paul Philip Mullin,26,England,75,67,55,66,Striker,Right,2021-07-23,2024,Right,1,500
Harrisson Manzala Tusumgama,27,Congo DR,83,64,60,69,Reserve,Pending,2020-09-15,2022,Right,1,5000
Humberto Segundo Osorio Botello,33,Colombia,52,70,59,66,Striker,Center,2020-03-02,2021,Right,1,500
Federico Bravo,27,Argentina,51,45,58,59,Substitute,Pending,2021-02-02,2021,Right,1,4000
Jessy Pi,27,France,63,64,63,66,Midfielder,Left,2021-07-12,2023,Right,1,2000
Rodrigo Nicolás Contreras,25,Argentina,71,66,52,66,Striker,Center,2021-06-30,2022,Left,1,6000
Carlos Gutiérrez González,29,Spain,43,39,48,44,Substitute,Pending,2020-01-10,2022,Right,1,2000
Freek Heerkens,31,Netherlands,49,36,56,58,Defender,Right,2013-07-01,2022,Right,1,3000
Denílson Pereira Júnior,25,Brazil,77,64,59,70,Substitute,Pending,2021-07-14,2023,Right,1,4000
Radoslav Bonchev Dimitrov,32,Bulgaria,73,44,61,61,Defender,Right,2019-07-09,2022,Right,1,5000
Erdal Rakip,25,Sweden,69,58,63,70,Substitute,Pending,2019-02-11,2022,Right,1,3000
Maikel Mesa Piñero,30,Spain,70,65,65,68,Midfielder,Left,2018-08-17,2022,Right,1,3000
Liam Lindsay,25,Scotland,43,34,47,51,Substitute,Pending,2021-06-09,2023,Left,1,10000
Luke Terry O'Nien,26,England,75,59,61,65,Midfielder,Left,2018-07-30,2024,Right,1,5000
Jason Sean McCarthy,25,England,72,52,60,63,Defender,Right,2020-08-25,2023,Right,1,3000
Cristiano Lombardi,25,Italy,77,63,59,72,Reserve,Pending,2021-06-15,2022,Right,1,16000
Emerson Hyndman,25,United States,62,59,67,71,Substitute,Pending,2020-01-01,2022,Right,1,3000
Aitor Arregi Arrieta,31,Spain,60,30,47,48,Defender,Center,2018-08-01,2022,Right,1,3000
Bart Vriends,30,Netherlands,41,32,47,47,Defender,Right,2016-07-01,2022,Right,1,4000
Lawrence Shankland,25,Scotland,72,68,58,66,Reserve,Pending,2021-08-11,2026,Right,1,5000
Stefan Kutschke,32,Germany,49,69,45,53,Striker,Left,2017-07-01,2022,Right,1,8000
Cameron Robert Burgess,25,Australia,50,38,48,48,Defender,Left,2021-08-15,2024,Left,1,4000
Manuel Perez,30,France,71,52,64,66,Midfielder,Right,2020-10-05,2023,Right,1,2000
吴曦,32,China PR,77,66,67,64,Midfielder,Right,2021-03-30,2021,Right,1,6000
Bas Edo Kuipers,26,Netherlands,69,43,60,64,Defender,Left,2020-07-06,2024,Left,1,3000
Stephan Zwierschitz,30,Austria,68,49,58,59,Defender,Right,2021-07-01,2022,Right,1,4000
Fábio Miguel dos Santos Sturgeon,27,Portugal,73,63,63,70,Substitute,Pending,2021-08-11,2024,Right,1,3000
Jonathan Fabián Zacaría,31,Argentina,70,64,66,69,Substitute,Pending,2020-10-20,2021,Left,1,5000
Clésio Baúque,26,Mozambique,77,56,62,71,Substitute,Pending,2021-08-11,2023,Right,1,4000
Reece Brown,25,England,80,63,65,70,Reserve,Pending,2019-07-01,2022,Right,1,4000
Carlos Andrés Rodales Ramírez,33,Uruguay,64,48,58,59,Defender,Right,2021-04-22,2021,Right,1,500
Christian Camilo Mafla Rebellón,28,Colombia,63,35,51,62,Substitute,Pending,2021-01-01,2021,Left,1,3000
Diego Ignacio Torres Quintana,28,Chile,76,48,64,66,Defender,Left,2021-03-04,2021,Left,1,2000
Salvatore Andrea Molina,29,Italy,74,49,65,70,Midfielder,Right,2018-08-08,2023,Right,1,5000
Ebenezer Kofi Assifuah-Inkoom,27,Ghana,91,64,56,68,Striker,Center,2020-06-11,2022,Right,1,2000
Noah Kemeseng Sonko-Sundberg,25,Gambia,70,44,48,52,Defender,Center,2018-01-08,2021,Right,1,2000
Anton Salétros,25,Sweden,65,57,67,64,Midfielder,Right,2020-10-05,2022,Left,1,2000
Marcus Anthony Harness,25,England,84,63,59,67,Midfielder,Right,2019-07-18,2022,Right,1,5000
Raphael Rossi Branco,30,Brazil,59,36,47,51,Defender,Left,2021-07-24,2024,Right,1,2000
Iliass Bel Hassani,28,Morocco,63,64,70,70,Substitute,Pending,2021-07-01,2022,Left,1,3000
Brandon Lee Colin Barker,24,England,91,60,62,67,Reserve,Pending,2019-08-09,2022,Right,1,16000
Iván Patricio Ledezma Ahumada,25,Chile,65,64,62,71,Substitute,Pending,2021-02-27,2021,Right,1,2000
Emanuel Quartsin Gyasi,27,Ghana,77,60,61,72,Striker,Center,2017-08-14,2023,Right,1,7000
Adam Stefan Lundqvist,27,Sweden,67,52,63,62,Defender,Left,2018-04-26,2021,Left,1,3000
Mikkel Kallesøe Andreasen,24,Denmark,81,55,59,65,Defender,Right,2013-10-01,2023,Right,1,4000
Brandon Joel Gaetano Borrello,25,Australia,74,65,60,70,Substitute,Pending,2021-07-03,2023,Right,1,6000
Nerijus Valskis,33,Lithuania,64,67,57,63,Striker,Right,2020-08-21,2022,Right,1,900
Diego Armando Chávez Ramos,28,Peru,76,49,60,64,Substitute,Pending,2020-01-28,2021,Right,1,500
Alex Stik Castro Giraldo,27,Colombia,74,59,66,67,Substitute,Pending,2020-01-24,2022,Left,1,1000
Malcolm Cacutalua,26,Germany,72,41,47,48,Reserve,Pending,2017-07-01,2022,Right,1,3000
Valmir Sulejmani,25,Kosovo,69,67,56,66,Substitute,Pending,2020-07-21,2022,Right,1,10000
Hólmbert Aron Friðjónsson,28,Iceland,65,67,48,62,Reserve,Pending,2021-07-01,2024,Left,1,9000
Daniel Romera Andújar,25,Spain,85,68,55,69,Substitute,Pending,2020-09-22,2022,Right,1,3000
Jorge Luis Ramos Sánchez,28,Colombia,74,64,53,66,Striker,Center,2020-09-10,2026,Right,1,2000
Ntsikelelo Nyauza,31,South Africa,75,40,51,66,Defender,Right,2014-01-16,2023,Right,1,500
Tesho Akindele,29,Canada,81,65,51,65,Substitute,Pending,2019-02-12,2021,Right,1,4000
Rafał Maciej Kurzawa,28,Poland,52,65,70,68,Midfielder,Left,2021-02-16,2023,Left,1,4000
Donis Avdijaj,24,Kosovo,72,64,62,71,Midfielder,Center,2021-08-29,2023,Right,1,3000
Craig Halkett,26,Scotland,63,50,53,57,Defender,Center,2019-07-01,2022,Right,1,3000
Niklas Sandberg,26,Norway,71,62,65,67,Midfielder,Right,2019-01-27,2022,Left,1,2000
Juan Manuel García García,28,Spain,80,68,61,67,Midfielder,Right,2019-07-01,2022,Right,1,3000
Christopher Cadden,24,Scotland,75,58,63,65,Substitute,Pending,2021-01-15,2023,Right,1,3000
Petter Dahle Strand,26,Norway,84,62,64,69,Midfielder,Right,2019-01-14,2022,Right,1,2000
孙可,31,China PR,77,64,61,66,Substitute,Pending,2020-07-23,2022,Right,1,5000
丁海峰,29,China PR,78,53,64,68,Defender,Left,2020-07-23,2022,Left,1,5000
石柯,28,China PR,66,26,44,47,Defender,Right,2021-02-23,2021,Right,1,6000
Eric Anders Smith,24,Sweden,63,56,61,62,Midfielder,Center,2021-07-01,2024,Right,1,5000
Connor Stuart Ogilvie,25,England,69,42,60,64,Midfielder,Left,2021-08-02,2023,Left,1,4000
Lynden Jack Gooch,25,United States,81,62,63,69,Midfielder,Right,2012-06-12,2022,Right,1,5000
Jown Anderson Cardona Agudelo,26,Colombia,73,62,62,72,Midfielder,Left,2021-04-15,2021,Right,1,6000
Leonel López González,27,Mexico,62,50,65,65,Substitute,Pending,2020-01-01,2021,Right,1,5000
정우재 郑宇宰,29,Korea Republic,75,60,61,66,Midfielder,Left,2019-01-17,2022,Left,1,3000
Bashkim Ajdini,28,Germany,76,63,66,71,Defender,Right,2021-07-01,2026,Right,1,3000
Racine Coly,25,Senegal,79,44,58,60,Substitute,Pending,2021-07-02,2024,Left,1,3000
Joshua Lloyd Ginnelly,24,England,91,59,58,68,Winger,Right,2021-07-01,2023,Right,1,3000
Tarkan Serbest,27,Turkey,60,54,65,65,Defender,Left,2020-01-09,2023,Right,1,5000
Pablo Pérez Rodríguez,27,Spain,63,65,67,65,Substitute,Pending,2014-08-01,2022,Right,1,4000
齋藤 学,31,Japan,77,65,65,68,Substitute,Pending,2021-01-09,2022,Right,1,3000
Tolga Ünlü,31,Germany,72,36,61,66,Substitute,Pending,2020-08-22,2022,Right,1,5000
José León Bernal,26,Spain,64,36,53,53,Reserve,Pending,2021-07-01,2023,Left,1,3000
Bogdan Alexandru Mitrea,33,Romania,52,52,54,49,Defender,Left,2020-07-14,2022,Left,1,5000
Jarosław Kubicki,25,Poland,72,56,62,66,Midfielder,Left,2018-07-01,2023,Right,1,3000
Bogdan Ilie Vătăjelu,28,Romania,79,62,65,71,Substitute,Pending,2019-07-01,2023,Left,1,5000
Lee Andrew Gregory,32,England,62,65,54,65,Substitute,Pending,2021-08-05,2022,Right,1,3000
Antoine Batisse,26,France,50,44,61,61,Defender,Left,2018-07-01,2022,Right,1,2000
Marco Schuster,25,Germany,66,53,59,66,Midfielder,Right,2021-07-01,2023,Right,1,5000
Calvin Leonardus Mac-Intosch,31,Netherlands,71,38,51,58,Defender,Right,2019-07-01,2022,Right,1,3000
Greg Alexander James Stewart,31,Scotland,72,65,65,68,Striker,Left,2021-09-12,2026,Left,1,900
Stephen Kingsley,26,Scotland,61,42,64,66,Substitute,Pending,2020-10-06,2022,Left,1,3000
梅方,31,China PR,61,29,46,51,Substitute,Pending,2014-01-01,2021,Right,1,7000
Luka Zarandia,25,Georgia,84,61,58,73,Substitute,Pending,2019-07-02,2022,Left,1,5000
Barış Yardımcı,28,Turkey,73,30,57,64,Substitute,Pending,2021-01-18,2022,Right,1,6000
Max Oliver Clark,25,England,72,54,63,64,Defender,Left,2021-07-01,2022,Left,1,4000
Mateusz Szwoch,28,Poland,69,64,67,68,Midfielder,Right,2018-06-16,2022,Right,1,3000
Marco Komenda,24,Germany,75,39,52,59,Substitute,Pending,2020-07-01,2023,Left,1,7000
Clint Leemans,25,Netherlands,54,71,71,64,Substitute,Pending,2021-08-04,2023,Left,1,4000
Iván Calero Ruiz,26,Spain,71,48,62,65,Substitute,Pending,2020-08-28,2023,Right,1,3000
Lucas Cueto,25,Germany,91,63,54,71,Winger,Right,2021-07-01,2023,Right,1,6000
Israel Elías Poblete Zúñiga,26,Chile,71,60,67,71,Midfielder,Left,2020-01-01,2022,Left,1,3000
Tayfur Bingöl,28,Turkey,80,60,63,67,Substitute,Pending,2019-07-01,2022,Right,1,6000
Nikolai Rohde Laursen,23,Denmark,76,64,66,69,Midfielder,Right,2021-07-01,2024,Left,1,3000
Scott Wright,23,Scotland,85,59,61,72,Substitute,Pending,2021-02-01,2025,Right,1,14000
Christian Rhys Doidge,28,Wales,55,66,55,63,Substitute,Pending,2019-06-25,2022,Right,1,4000
Motaz Ali Hassan Hawsawi,29,Saudi Arabia,59,46,45,53,Defender,Right,2014-07-01,2022,Right,1,12000
Jonatan Daniel Alvez Sagar,33,Uruguay,72,66,51,63,Substitute,Pending,2021-01-08,2022,Right,1,1000
Sondre Brunstad Fet,24,Norway,70,55,62,67,Midfielder,Right,2020-10-27,2023,Right,1,2000
Sessi Octave Emile D'Almeida,25,Benin,80,55,60,68,Midfielder,Right,2019-07-24,2023,Right,1,2000
Dylan Louiserre,26,France,59,65,67,69,Midfielder,Right,2018-07-01,2022,Right,1,2000
Pelle van Amersfoort,25,Netherlands,65,66,67,66,Midfielder,Center,2019-07-01,2022,Right,1,4000
Carlos Apna Embaló,26,Guinea Bissau,86,62,62,71,Substitute,Pending,2019-07-18,2022,Left,1,5000
Oliver Burke,24,Scotland,88,63,62,66,Substitute,Pending,2020-09-09,2023,Right,1,9000
Conor Mark Chaplin,24,England,78,68,60,71,Substitute,Pending,2021-07-27,2024,Left,1,4000
Dylan Ozan Moyo Bahamboula,26,Congo,82,63,61,69,Winger,Right,2020-10-02,2022,Right,1,6000
Jean-Kévin Augustin,24,France,71,68,60,69,Reserve,Pending,2020-10-06,2022,Right,1,8000
José Luis Zalazar Martínez,23,Spain,59,64,68,71,Substitute,Pending,2021-08-27,2024,Left,1,3000
Stevie Patrick Mallan,25,Scotland,67,66,70,69,Midfielder,Right,2021-07-18,2023,Right,1,5000
