nombre,edad,seleccion,posicion
Loïc Anthony Bessile,22,Togo,Substitute
Nassim Ouammou,28,France,Substitute
Cornel Dinu,32,Romania,Defender
Mihai Dobrescu,28,Romania,Reserve
Adrian Gheorghe Șut,22,Romania,Substitute
Florin Vasile Achim,29,Romania,Defender
Thibo Somers,22,Belgium,Substitute
Ellis Simms,20,England,Reserve
Ricardo Daniel Pepi,18,United States,Striker
Sven Köhler,24,Germany,Midfielder
Jakov Medić,22,Croatia,Defender
Thomas Leon Keller,21,Germany,Defender
德尔加多,24,China PR,Substitute
Nicolai Vallys,24,Denmark,Midfielder
Lazarous Kambole,27,Zambia,Substitute
Enea Mihaj,22,Albania,Reserve
Siemen Voet,21,Belgium,Defender
Rui Filipe da Cunha Correia,26,Portugal,Midfielder
Lennerd Daneels,23,Belgium,Substitute
Dean Huiberts,21,Netherlands,Midfielder
Charles Boli,22,France,Substitute
Michał Skóraś,21,Poland,Midfielder
Alexandru Țigănașu,31,Romania,Defender
Damián Ariel Fernández,20,Argentina,Substitute
Salvatore Elia,22,Italy,Substitute
George Alexandru Cîmpanu,20,Romania,Substitute
Mihai Velisar,22,Romania,Defender
Ștefan Baiaram,18,Romania,Winger
Albert Tivadar Stahl,22,Romania,Substitute
Hiang'a Mananga Mbock,21,France,Midfielder
Israel Reyes Romero,21,Mexico,Defender
Betim Fazliji,22,Kosovo,Defender
Filip Bilbija,21,Germany,Midfielder
Hugo Vandermersch,22,France,Substitute
Álvaro Agustín Lagos,19,Argentina,Substitute
Ismael Gutiérrez Montilla,20,Spain,Reserve
Juan Manuel Sanabria Magole,21,Uruguay,Substitute
Florian Michel,29,France,Substitute
渡辺 皓太,22,Japan,Substitute
Marco Burch,20,Switzerland,Defender
Aleksa Terzić,21,Serbia,Reserve
Soner Dikmen,27,Turkey,Midfielder
Leon Maximilian Flach,20,United States,Midfielder
Emre Demir,17,Turkey,Substitute
Romano Ceciel Postema,19,Netherlands,Substitute
Gabriele Zappa,21,Italy,Substitute
Mario-Jason Kikonda,25,France,Substitute
Georgi Pashov,31,Bulgaria,Substitute
Tiago Alexandre Mendes Alves,25,Portugal,Midfielder
Jorge Gastón Comas,23,Argentina,Substitute
César Gabriel Florentín,22,Argentina,Midfielder
Rodrigo Abascal Barros,27,Uruguay,Defender
Thiago Vecino Berriel,22,Uruguay,Substitute
Roberto Daniel Garcés Salazar,27,Ecuador,Midfielder
Anthony Rigoberto Landázuri Estacio,24,Ecuador,Midfielder
Giuliano Simeone,18,Argentina,Reserve
Sam Greenwood,19,England,Substitute
Gift Links,22,South Africa,Substitute
Eric Andre Kahl,19,Sweden,Defender
Luis Fernando Pavia Mamani,22,Bolivia,Substitute
Daniel Fabio Morales Quispe,29,Peru,Substitute
Luis Eduardo Demiquel Banegas,21,Bolivia,Substitute
Victor Julio Rodolfo Balta Mori,35,Peru,Defender
Alfredo Junior Rojas Pajuelo,30,Peru,Reserve
Leonardo Marcelo Villar Callupe,21,Peru,Midfielder
Darío Ariel Sarmiento,18,Argentina,Midfielder
Gerson Alexis Barreto Gamboa,25,Peru,Midfielder
Emanuel Gularte Méndez,23,Uruguay,Substitute
Renier Alexander Rodríguez González,37,Venezuela,Reserve
José Jesús Yégüez Salgado,33,Venezuela,Substitute
Esteban Ricardo González Maciel,30,Uruguay,Substitute
Nelson Jhonny Luis Cabanillas Jesús,20,Peru,Substitute
Luis Ángel Martell Castillo,26,Venezuela,Midfielder
Marco Antonio Bustillo Benítez,25,Venezuela,Striker
Juan Ignacio Martín Nardoni,18,Argentina,Substitute
Aritz Arambarri Murua,23,Spain,Defender
Marlon Mauricio Mejía Díaz,26,Ecuador,Reserve
Alec Hugo Deneumostier Ortmann,22,Peru,Substitute
Paolo Alessandro Reyna Lea,19,Peru,Defender
Christian James Vásquez Pérez,21,Peru,Defender
Denilho Cleonise,19,Netherlands,Substitute
Nathanael Ogbeta,20,England,Substitute
Paulo César Goyoneche Yaranga,27,Peru,Midfielder
Óscar Añez Urachianta,30,Bolivia,Defender
Marc-Francois Enoumba,28,Bolivia,Substitute
Junior Kevin Romay Sanchez,27,Bolivia,Substitute
Joaquín Indacoechea,20,Argentina,Substitute
Alejandro Sotillos Miarmau,23,Spain,Defender
Luis Alfredo Urruti Giménez,28,Uruguay,Substitute
Edgardo Daniel Orzusa Cáceres,31,Paraguay,Reserve
Edgar Catalino Zaracho Zorrilla,31,Paraguay,Midfielder
Claudio Ronaldo Núñez Aquino,25,Paraguay,Defender
Carlos Damián Montiel Cañiza,27,Paraguay,Substitute
Gustavo Antonio Giménez Báez,34,Paraguay,Defender
遠野 大弥,22,Japan,Substitute
内田 裕斗,26,Japan,Substitute
菊池 流帆,24,Japan,Defender
Erick Ouma Otieno,24,Kenya,Defender
仙頭 啓矢,26,Japan,Midfielder
Andrés Souper De La Cruz,22,United States,Substitute
Lautaro Nicolás Ríos,20,Argentina,Substitute
Dionicio Ismael Pérez Mambreani,34,Paraguay,Substitute
Joffre Andrés Escobar Moyano,24,Ecuador,Substitute
Miro Tenho,26,Finland,Substitute
Maxence Rivera,19,France,Substitute
Ransford-Yeboah Königsdörffer,19,Germany,Striker
Pablo Javier Adorno Martínez,25,Paraguay,Substitute
Pablo Gozálbez Gilabert,20,Spain,Reserve
Anis Ben Slimane,20,Tunisia,Substitute
Victor Andrés Guzmán Olmedo,19,Mexico,Defender
Antoine Benjamin Colassin,20,Belgium,Substitute
Mauricio Pineda,23,United States,Defender
Leonard Owusu,24,Ghana,Substitute
Richard van der Venne,29,Netherlands,Midfielder
Kevin Francisco Salvatierra Flores,19,Bolivia,Substitute
Realdo Fili,25,Albania,Winger
Vitor Carvalho Vieira,24,Brazil,Midfielder
中山 克広,24,Japan,Midfielder
齋藤 功佑,24,Japan,Reserve
Jesús Manuel Sagredo Chávez,27,Bolivia,Defender
山本 悠樹,23,Japan,Substitute
Jon Pacheco Dozagarat,20,Spain,Reserve
Julio Martínez Cortés,20,Spain,Reserve
Santiago Hezze,19,Argentina,Substitute
Javier López Carballo,19,Spain,Reserve
Yannik Keitel,21,Germany,Midfielder
Luca Oyen,18,Belgium,Substitute
Paulos Abraham,18,Sweden,Substitute
Santiago Simón,19,Argentina,Reserve
Jesper Daland,21,Norway,Defender
Aaron Nicolás Molinas,20,Argentina,Reserve
Ante Bajic,25,Austria,Substitute
Jean-Philippe Krasso,23,France,Reserve
Felício Mendes João Milson,21,Angola,Substitute
Mauricio Manuel Guzmán,21,Argentina,Substitute
Théo Ndicka Matam,21,France,Substitute
Mariano Ezequiel Peralta Bauer,23,Argentina,Substitute
Lautaro Emanuel Blanco,22,Argentina,Defender
Erik Jorgens de Menezes,20,Brazil,Defender
Nosa Iyobosa Edokpolor,24,Austria,Defender
Lewis Lee Montsma,23,Netherlands,Substitute
Alan Virginius,18,France,Substitute
Marvin Lee Rittmüller,22,Germany,Substitute
小柏 剛,22,Japan,Striker
Anthony David Junior Elanga,19,Sweden,Reserve
Julian Schwermann,21,Germany,Midfielder
Thijs Oosting,21,Netherlands,Substitute
Gijs Smal,23,Netherlands,Substitute
Patryk Janasik,23,Poland,Substitute
Bartosz Kieliba,30,Poland,Substitute
Aleks Ławniczak,22,Poland,Defender
Costinel Andrei Tofan,24,Romania,Defender
Peter Pokorný,19,Slovakia,Substitute
Giannis Papanikolaou,22,Greece,Midfielder
Daan Huisman,18,Netherlands,Substitute
Million Manhoef,19,Netherlands,Substitute
Julián Ezequiel Aude Bernardi,18,Argentina,Substitute
Akinkunmi Ayobami Amoo,19,Nigeria,Forward
Mateusz Kuzimski,30,Poland,Substitute
Nicolás Marichal Pérez,20,Uruguay,Defender
Adonis Stalin Preciado Quintero,24,Ecuador,Substitute
Juan Sebastián Sforza,19,Argentina,Midfielder
Joël Pascal Schmied,22,Switzerland,Substitute
Cedric Wilfred Teguía Noubi,19,Spain,Reserve
Julián Alejandro Navas,27,Argentina,Substitute
Joseph Boyamba,24,Germany,Midfielder
Iván Bravo Castro,20,Spain,Reserve
Alejandro Benítez Palomero,21,Spain,Reserve
Adil Demirbağ,23,Turkey,Substitute
Guilherme Mantuan,23,Brazil,Substitute
Cristian Gonzalo Olivera Ibarra,19,Uruguay,Substitute
Wesley Spieringhs,19,Netherlands,Substitute
Nathan Santos de Araújo,19,Brazil,Defender
Sergio Arribas Calvo,19,Spain,Reserve
Matisse Samoise,19,Belgium,Substitute
Tiago Fontoura Fonseca Morais,17,Portugal,Substitute
Ravil Tagir,18,Turkey,Defender
Abdel Jalil Zaim Idriss Medioub,23,Algeria,Reserve
David Pereira Da Costa,20,Portugal,Substitute
Kerim Alıcı,24,Turkey,Substitute
Thabang Amod Monare,31,South Africa,Substitute
Nicolás Federico Castro,20,Argentina,Midfielder
Franco Orozco,19,Argentina,Substitute
Carlos Agustín Duarte Martínez,38,Paraguay,Substitute
Adalid Terrazas Abasto,20,Bolivia,Midfielder
Adrián Junior Gutiérrez Toledo,21,Peru,Defender
Jon Mikel Aramburu Mejías,18,Venezuela,Substitute
Yohán Eduardo Cumana Hernández,25,Venezuela,Defender
Lucas Elías Morales Villalba,27,Uruguay,Defender
Kevin Josué Sambonino Terán,21,Ecuador,Substitute
Luis Ángel Cano Quintana,21,Ecuador,Winger
Jorge Salvador Murrugarra Torres,24,Peru,Midfielder
Albert José González Zamora,24,Venezuela,Substitute
Luis Andrés González González,28,Venezuela,Substitute
Masaki Watai,21,Japan,Midfielder
Yudai Konishi,23,Japan,Substitute
Diego Josué Hoyos,28,Bolivia,Substitute
明本 考浩,23,Japan,Substitute
Benaissa Benamar,24,Morocco,Substitute
Yuya Yamagishi,27,Japan,Striker
Jesús Fernando Piñuelas Sandoval,23,Mexico,Defender
Gerardo Maximiliano Gómez,33,Argentina,Substitute
Yonas Malede,21,Israel,Substitute
Freddy Elías Góndola Smith,25,Panama,Substitute
Christopher Maurice Wooh,19,France,Substitute
Andreas Rædergård Schjelderup,17,Norway,Striker
Juan Infante,25,Argentina,Defender
Ramiro Enrique Paz,20,Argentina,Substitute
Gastón Américo Benavídez,25,Argentina,Defender
Bruno Christian Sepúlveda,28,Argentina,Substitute
Milton Giménez,24,Argentina,Striker
Franco Baldasarra,22,Argentina,Midfielder
Michal Škvarka,28,Slovakia,Midfielder
Édouard Michut,18,France,Reserve
Luis Enrique Campos Mendiola,20,Peru,Substitute
Franco Catarozzi Parafita,21,Uruguay,Midfielder
Maurice Jesús Cova Sánchez,28,Venezuela,Midfielder
Neraysho Meritchio Kasanwirjo,19,Netherlands,Defender
Junior Castello Lukeba,18,France,Substitute
Yahya Nadrani,24,France,Defender
Abdel Al Badaoui,25,Morocco,Substitute
Ragnar Oratmangoen,23,Netherlands,Winger
Ekain Zenitagoia Arana,27,Spain,Substitute
Yayah Kallon,20,Sierra Leone,Substitute
Dirk Proper,19,Netherlands,Midfielder
Stephen Quemper,28,France,Defender
Kévin Schur,30,France,Substitute
Higor Matheus Meritão,27,Brazil,Substitute
Patrick Greil,24,Austria,Midfielder
Francis Cann,23,Ghana,Substitute
Radu Negru,22,Romania,Defender
Dragoș Albu,20,Romania,Midfielder
Cas Odenthal,20,Netherlands,Defender
Beñat Turrientes Imaz,19,Spain,Midfielder
Jon Karrikaburu,18,Spain,Striker
Ivan Dolček,21,Croatia,Substitute
Marin Ljubičić,19,Croatia,Substitute
Sergen Piçinciol,25,Turkey,Substitute
Mamadou Diarra,23,Senegal,Defender
Adam Radwański,23,Poland,Midfielder
Manfred Ugalde,19,Costa Rica,Substitute
Levi Colwill,18,England,Defender
Jovan Nišić,23,Serbia,Substitute
Bryan Okoh,18,Switzerland,Reserve
Anton Krivotsyuk,22,Azerbaijan,Defender
Mees de Wit,23,Netherlands,Substitute
Tai Baribo,23,Israel,Striker
Godfried Frimpong,22,Netherlands,Substitute
Maxim Nenakhov,22,Russia,Reserve
Alioune Ndour,20,Senegal,Striker
José Manuel Arias Copete,21,Spain,Defender
Facundo Mansilla,22,Argentina,Defender
Milan Makarić,25,Serbia,Striker
Agustín Sández,20,Argentina,Reserve
Myles Peart-Harris,18,England,Reserve
Or Dasa,22,Israel,Substitute
Ricardo Viana Filho,20,Brazil,Reserve
Yukhym Konoplia,21,Ukraine,Substitute
Gökhan Sazdağı,26,Turkey,Striker
Slavko Damjanović,28,Serbia,Defender
Marcelo Ribeiro dos Santos,23,Brazil,Substitute
Gonçalo Esteves,17,Portugal,Substitute
Tomáš Zajíc,24,Slovakia,Substitute
César Yanis,25,Panama,Reserve
Wilinton Aponza,21,Colombia,Substitute
Fernando José Marques Maciel,23,Brazil,Reserve
Peter Michael Clarke,39,England,Defender
Ian Henderson,36,England,Striker
Mahir Sağlık,38,Turkey,Substitute
Ronny König,38,Germany,Striker
Albert Bunjaku,37,Kosovo,Striker
Mikel Álvaro Salazar,38,Spain,Substitute
Andrei Cristea,37,Romania,Substitute
Philipp Netzer,35,Austria,Substitute
Amin Askar,35,Ethiopia,Substitute
Darren Antony Pratley,36,England,Midfielder
Luke Chambers,35,England,Defender
David Frank Llwyd Jones,36,England,Substitute
James Robert Perch,35,England,Substitute
Glenn Whelan,37,Republic of Ireland,Substitute
Jacob Mulenga,37,Zambia,Substitute
Joel Lynch,33,Wales,Substitute
양동현 梁东炫,35,Korea Republic,Striker
Nicholas Willia Adams,34,Wales,Defender
Wesley Darius Donald Charles,33,England,Substitute
Joseph Martin O'Brien,35,Republic of Ireland,Defender
Anthony Grant,34,Jamaica,Midfielder
Mark Anthony Hughes,34,England,Defender
Hugo Filipe da Costa Oliveira,32,Portugal,Striker
Michael Lumb,33,Denmark,Substitute
Brett Douglas Pitman,33,England,Substitute
Toumani Diagouraga,34,France,Midfielder
Jason Daniel Pearce,33,England,Reserve
Paul McGowan,33,Scotland,Winger
Stephen Jude Quinn,35,Republic of Ireland,Midfielder
Mark Reynolds,34,Scotland,Substitute
Christopher Ross Gunter,31,Wales,Defender
John Michael Lewis Mousinho,35,England,Substitute
Stephan Fürstner,33,Germany,Reserve
Valdet Skënder Rama,33,Albania,Reserve
Magnus Lekven,33,Norway,Defender
Jordan Harvey,37,United States,Reserve
Harmeet Singh,30,Norway,Midfielder
Iriome González González,34,Spain,Substitute
Nikolai Topor-Stanley,36,Australia,Defender
Erling Knudtzon,32,Norway,Substitute
Jérémy Huyghebaert,32,Belgium,Defender
杨旭,33,China PR,Substitute
Fredrik Brustad,32,Norway,Substitute
于大宝,33,China PR,Defender
Marvin Clement Bartley,34,England,Reserve
Rolf Daniel Vikstøl,32,Norway,Defender
Adam Nemec,35,Slovakia,Striker
Alan Christopher Judge,32,Republic of Ireland,Midfielder
Tommy Høiland,32,Norway,Substitute
Maciej Sadlok,32,Poland,Substitute
Vladimir Koman Jr.,32,Hungary,Substitute
Jason Hoffman,32,Australia,Defender
Martin Zeman,32,Czech Republic,Substitute
Martín Luis Galván Romo,28,Mexico,Substitute
Ariel Borysiuk,29,Poland,Midfielder
Johannes Flum,33,Germany,Midfielder
Alexander Bittroff,32,Germany,Defender
Luke John Murphy,31,England,Midfielder
Gregory Vaughan Taylor,31,England,Defender
Stuart Antony Alan O'Keefe,30,England,Midfielder
Curtis Lee Main,29,England,Striker
Paul Alexander Coutts,32,Scotland,Substitute
Aidan Peter White,29,Republic of Ireland,Substitute
Niklas Gunnarsson,30,Norway,Defender
Aimar Sagastibeltza Caballero,36,Spain,Substitute
Mustafa Abdellaoue,32,Norway,Reserve
Janusz Krzysztof Gol,35,Poland,Midfielder
指宿 洋史,30,Japan,Substitute
Jonathan Chiedozie Obika,30,England,Reserve
Bradden Inman,29,Australia,Midfielder
Mikael Dyrestam,29,Guinea,Defender
Christoph Menz,32,Germany,Defender
伊野波 雅彦,35,Japan,Defender
임상협 廉桑,32,Korea Republic,Midfielder
권순형 权纯亨,35,Korea Republic,Substitute
Joseph Baffo,28,Sweden,Defender
Tim Denny Björkström,30,Sweden,Defender
Mark Duffy,35,England,Substitute
Scott Neville,32,Australia,Defender
Marc Vales González,31,Andorra,Substitute
Tobias Jänicke,32,Germany,Substitute
Ashton John Taylor,30,Wales,Substitute
Luis Guillermo Madrigal Gutiérrez,28,Mexico,Substitute
Nicholas Alexander McCormack Clark,30,Scotland,Striker
Osman Tarık Çamdal,30,Turkey,Substitute
Aaron Keith Wildig,29,England,Substitute
Jack David Hingert,30,Australia,Substitute
Yong Gi Ryang,39,Korea DPR,Reserve
Po-Liang Chen,32,Chinese Taipei,Substitute
Ashley Thomas Eastham,30,England,Defender
Sam Thomas Winnall,30,England,Substitute
Luka Tankulić,30,Germany,Midfielder
Marlon Antonio Fernández Jiménez,35,Venezuela,Substitute
Edemir Rodríguez Mercado,36,Bolivia,Substitute
Calum James Butcher,30,England,Substitute
Ryan Michael Bowman,29,England,Substitute
George Francomb,29,England,Substitute
Jake William Trevor Taylor,29,Wales,Midfielder
Mark Gerard Connolly,29,Republic of Ireland,Substitute
Joshua Mark McEachran,28,England,Substitute
Damián Alejandro Malrechauffe Verdún,36,Uruguay,Defender
David Sebastian Magnus Löfquist,34,Sweden,Midfielder
Andrew William Halliday,29,Scotland,Defender
Stefan Stangl,29,Austria,Reserve
Dušan Cvetinović,32,Serbia,Defender
Harry David Balraj Pell,29,England,Midfielder
Piotr Wlazło,32,Poland,Midfielder
Thomas Michael Eastman,29,England,Defender
Robbie Benson,29,Republic of Ireland,Midfielder
Orlando Gabriel Gaona Lugo,30,Paraguay,Midfielder
Jason John Lowe,29,England,Midfielder
Ole Jørgen Halvorsen,33,Norway,Midfielder
Benjamin John Heneghan,27,England,Defender
Kevin Kraus,28,Germany,Reserve
김수범 金秀范,30,Korea Republic,Substitute
Kristoffer Knudsen Larsen,29,Norway,Substitute
Gabriel Nicolás Mezquida Sero,29,Uruguay,Substitute
신세계 申西桂,30,Korea Republic,Defender
Scott Wootton,29,England,Defender
Ellis Wade Harrison,27,Wales,Substitute
Julian Wießmeier,28,Germany,Defender
Christian Nikolaj Sørensen,28,Denmark,Defender
Christopher Kane,26,Scotland,Substitute
Anthony Dean O'Connor,28,Republic of Ireland,Defender
Janek Sternberg,28,Germany,Substitute
Pascal Breier,29,Germany,Substitute
Rhys Gordon Bennett,29,England,Substitute
Simon Robert Kroon,28,Sweden,Substitute
Jesús Manuel Meza Moreno,35,Venezuela,Midfielder
Jacob Toppel Schoop,32,Denmark,Midfielder
Damian Zbozień,32,Poland,Substitute
Nicholas Ansell,27,Australia,Defender
Ogou Edmond Akichi,31,Côte d'Ivoire,Substitute
Alexander Juel Andersen,30,Denmark,Defender
Bradley Diallo,30,France,Defender
Vieux Yaya Sané,31,Senegal,Substitute
Jordan Robert Turnbull,26,England,Substitute
Christophe Vincent,28,France,Midfielder
Paul Andrew Digby,26,England,Midfielder
James William Bolton,26,England,Substitute
Louis Thompson,26,Wales,Substitute
Nick DeLeon,30,United States,Substitute
Dominic James Samuel,27,England,Substitute
Callum Reilly,27,Republic of Ireland,Substitute
Abdullah Fareed Al Hafith,28,Saudi Arabia,Substitute
황순민 金胜敏,30,Korea Republic,Midfielder
Dom Dwyer,30,United States,Substitute
Michał Mak,29,Poland,Forward
Mateusz Mak,29,Poland,Forward
Wesley Jobello,27,France,Reserve
Soma Zsombor Novothny,27,Hungary,Substitute
Francisco Santos da Silva Júnior,29,Guinea Bissau,Reserve
Kent-Are Antonsen,26,Norway,Reserve
Fredrik Torsteinbø,30,Norway,Substitute
Kolja Pusch,28,Germany,Midfielder
Marc Lais,30,Germany,Reserve
Jordan Alan Moore-Taylor,27,England,Substitute
Alassane N'Diaye,30,France,Substitute
Drey Jermaine Wright,26,England,Substitute
Blair Sebastian Turgott,27,Jamaica,Striker
Janoi Donacien,27,Saint Lucia,Substitute
Brendan Joel Zibusiso Galloway,25,Zimbabwe,Defender
Anthony Caceres,28,Australia,Substitute
Yroundu Musavu-King,29,Gabon,Defender
Mansour Althaqfi Al Harbi,33,Saudi Arabia,Substitute
Ibrahim Salem Ali Al-Zubaidi,31,Saudi Arabia,Substitute
Connor Chapman,26,Australia,Reserve
Dennis Iapichino,30,Switzerland,Substitute
Jordan Roy Tillson,28,England,Midfielder
Philipp Erhardt,27,Austria,Substitute
Abdulaziz Al Jebreen,31,Saudi Arabia,Substitute
Faisal Darwish Faraj,29,Saudi Arabia,Reserve
Mohammed Abdullah Abusabaan,31,Saudi Arabia,Substitute
Abdullah Al Fahad,27,Saudi Arabia,Substitute
Bismark Adjei-Boateng,27,Ghana,Reserve
Mohammed Al Amri,29,Saudi Arabia,Defender
Nawaf Al Subhi,31,Saudi Arabia,Defender
Joe Samuel Ironside,27,England,Striker
Callum Jeffrey McFadzean,27,Scotland,Substitute
Enzo Alan Zidane Fernández,26,France,Substitute
Aketchi Luc-Martin Kassi,26,Côte d'Ivoire,Reserve
Alan Maximiliano Aguirre,27,Argentina,Defender
Mark O'Hara,25,Scotland,Substitute
Timmy Dennis Mario Thiele,29,Germany,Substitute
Philemon Ofosu-Ayeh,29,Ghana,Substitute
Toni Lindenhahn,30,Germany,Substitute
Seán Hoare,27,Republic of Ireland,Substitute
Saeed Fawaz Al Mowalad,30,Saudi Arabia,Defender
Mikael Norø Ingebrigtsen,24,Norway,Substitute
Karol Angielski,25,Poland,Striker
Scott Caldwell,30,United States,Substitute
박정빈 Jung Bin Park,27,Korea Republic,Substitute
Jamille Antonio Matt,31,Jamaica,Striker
Bartosz Kwiecień,27,Poland,Reserve
Stefan Mauk,25,Australia,Midfielder
Zach Paul John Clough,26,England,Substitute
Kekuta Manneh,26,United States,Substitute
Scott Galloway,26,Australia,Substitute
Patrick Banggaard Jensen,27,Denmark,Substitute
Antoine Conte,27,Guinea,Reserve
Conor Dominic Geoffrey Wilkinson,26,Republic of Ireland,Substitute
Aaron Joseph McGowan,24,England,Defender
이으뜸 李奥登,31,Korea Republic,Substitute
Seong-Joon Jo,30,Korea Republic,Reserve
Connor Pain,27,Australia,Winger
Kasper Pedersen,28,Denmark,Substitute
Jordan Alexander Houghton,25,England,Midfielder
Cristián Manuel Rojas Sanhueza,35,Chile,Reserve
Mitchell Bernard Pinnock,26,England,Midfielder
Ariel Elías Martínez Arce,27,Chile,Substitute
Scott Tanser,26,England,Defender
Andrés Sebastián Robles Fuentes,27,Chile,Defender
Lucas Nahuel Kruspzky,29,Argentina,Defender
Baily James Cargill,25,England,Defender
Ismael Alberto Quílez,31,Argentina,Defender
Lloyd Richard Jones,25,England,Defender
François Marquet,26,Belgium,Substitute
Matteo Fedele,28,Switzerland,Substitute
Cameron Kerr,25,Scotland,Substitute
Dawid Kort,26,Poland,Substitute
Alexandru Nicolae Vlad,31,Romania,Substitute
Yann Boé-Kane,30,France,Midfielder
Michael Lepe,30,Chile,Reserve
Jordan Elsey,27,Australia,Defender
Simon Handle,28,Germany,Midfielder
Sam Hendriks,26,Netherlands,Substitute
Joni Ensio Kauko,30,Finland,Substitute
Liam Shephard,26,Wales,Defender
Óscar Gil Osés,26,Spain,Substitute
Florian Kath,26,Germany,Substitute
Ariel Matías García,29,Argentina,Midfielder
Adam Sušac,32,Croatia,Substitute
Álvaro Peña Herrero,29,Spain,Midfielder
Alex Nicholas Gilliead,25,England,Midfielder
彭欣力,29,China PR,Substitute
Emmanuel Gaetan Nguemkam Monthe,26,Cameroon,Defender
Ramón Eduardo David Mendieta Alfonso,33,Paraguay,Defender
Maurice John Deville,28,Luxembourg,Substitute
Mirnes Pepić,25,Montenegro,Midfielder
Conor Glynn Shaughnessy,25,Republic of Ireland,Defender
Guillermo Fabián Pereira,27,Argentina,Substitute
João Pedro Pereira Silva,31,Portugal,Reserve
Samuel Štefánik,29,Slovakia,Midfielder
Iván Márquez Álvarez,27,Spain,Defender
Mansour Hamzi,29,Saudi Arabia,Midfielder
Julian Von Haacke,27,Germany,Reserve
Younès Kaabouni,26,France,Substitute
Jhoao Leandro Rodríguez González,25,Colombia,Midfielder
Zoran Kvržić,32,Bosnia and Herzegovina,Reserve
George Thomas,24,Wales,Substitute
Morten Ågnes Konradsen,25,Norway,Substitute
Amadou Bakayoko,25,Sierra Leone,Substitute
Grégoire Lefebvre,27,France,Substitute
Hamad Fares Al Mansour,28,Saudi Arabia,Substitute
안용우 安庸佑,29,Korea Republic,Substitute
Eric Miller,28,United States,Substitute
권완규 权完圭,29,Korea Republic,Defender
이주용 李周勇,28,Korea Republic,Reserve
陈灏,28,China PR,Reserve
Amaury Torralvo Polo,27,Colombia,Winger
蒋哲,32,China PR,Defender
Fidan Aliti,27,Kosovo,Defender
이명재 李明载,27,Korea Republic,Reserve
柏佳俊,30,China PR,Substitute
杨笑天,31,China PR,Substitute
Edward James Bishop,24,England,Substitute
조성진 给宋锦,30,Korea Republic,Substitute
Fernando David Arce Juárez,24,United States,Substitute
Juan Pablo Meza Tepezano,27,Mexico,Substitute
Liam Mark Kinsella,25,Republic of Ireland,Midfielder
José Carlos Ramírez Suárez,25,Spain,Substitute
Louis Samuel Reed,23,England,Midfielder
西 翼,31,Japan,Substitute
Alexander Kinloch Samuel,25,Wales,Substitute
Jon Anthony Nolan,29,England,Reserve
Gençer Cansev,32,Turkey,Reserve
Jonathan Jack Muldoon,32,England,Striker
Harrison Charles Dunk,30,England,Substitute
Federico Palacios Martínez,26,Spain,Substitute
Dimitri Joseph Oberlin Mfomo,23,Switzerland,Substitute
Jens Jakob Dyhr Thomasen,25,Denmark,Midfielder
Michael James Devlin,27,Scotland,Substitute
Jarosław Przemysław Jach,27,Poland,Reserve
Markus Ballmert,27,Germany,Defender
Mickey David Demetriou,30,England,Defender
Adrián Marcelo Spörle,25,Argentina,Midfielder
Théo Pierrot,27,France,Substitute
Callum James Cooke,24,England,Midfielder
Marvin Egho,27,Austria,Substitute
Bartosz Śpiączka,29,Poland,Striker
George Thomas Maris,25,England,Midfielder
Håkan Gustaf Nilsson,24,Sweden,Striker
James Charles Jones,25,Scotland,Midfielder
Alexander Joseph Gersbach,24,Australia,Substitute
Samúel Kári Friðjónsson,25,Iceland,Midfielder
Gethin Wynne Jones,25,Wales,Defender
Jeppe Friborg Simonsen,25,Denmark,Substitute
Tolcay Ciğerci,26,Turkey,Forward
尹鸿博,31,China PR,Midfielder
Rosario Latouchent,25,France,Substitute
Brice Wembangomo,24,Norway,Defender
Romain Gall,26,United States,Substitute
Danny Johnson,28,England,Striker
Ronaldo Cisneros Morell,24,Mexico,Substitute
Gennaro Acampora,27,Italy,Substitute
Mikkel Maigaard Jakobsen,25,Denmark,Substitute
Conor McGrandles,25,Scotland,Midfielder
David Sambissa,25,Gabon,Substitute
Vlad Alexandru Achim,32,Romania,Substitute
Aaron Graham John Collins,24,Wales,Striker
Maurice Jerome Litka,25,Germany,Reserve
Terell Mondasia Thomas,25,England,Defender
Justin Eilers,33,Germany,Substitute
Dominic Baumann,26,Germany,Striker
Boubacar Barry,25,Germany,Substitute
Victor Adeboyejo,23,Nigeria,Substitute
David Bernardo Mendoza Ayala,36,Paraguay,Reserve
Mario Federico López Quintana,25,Paraguay,Substitute
Juan Carlos Zampiery Rivarola,31,Bolivia,Substitute
Cristhian Michael Coimbra Arias,32,Bolivia,Substitute
Ryan Hardie,24,Scotland,Striker
Fejsal Mulić,26,Serbia,Striker
Ryan Joseph Sweeney,24,Republic of Ireland,Substitute
Clément Dépres,26,France,Striker
Jonathan Tamimi Syberg,26,Jordan,Substitute
冯劲,27,China PR,Substitute
Pablo Clavería Herraíz,25,Spain,Substitute
Callum Thomas Ainley,23,England,Winger
Santiago Echeverría,31,Argentina,Defender
Juan Manuel Ramos Pintos,24,Uruguay,Reserve
Ferhad Ayaz,26,Sweden,Midfielder
Christos Emil Gravius,23,Sweden,Midfielder
김민혁 金敏赫,28,Korea Republic,Midfielder
Karl Sebastian Ring,26,Sweden,Midfielder
Jermaine Samuel Hylton,29,England,Substitute
